school,year,games,wins,losses,ties,preseason_rank,postseason_rank,srs,sp_overall,sp_offense,sp_defense,first_name,last_name
Missouri,1989,11,2,9,0,,,-13.2,-15.3,23.2,35.7,Bob,Stull
Missouri,1990,11,4,7,0,,,0.4,-0.5,35.4,35.4,Bob,Stull
Missouri,1991,11,3,7,1,,,-5.3,-7.4,31.9,37.4,Bob,Stull
Missouri,1992,11,3,8,0,,,-2.3,-2.5,24.2,26.9,Bob,Stull
Missouri,1993,11,3,7,1,,,0.4,-0.9,29.4,30.5,Bob,Stull
TCU,1992,11,2,8,1,,,-11.3,-13.8,22.7,34.3,Pat,Sullivan
TCU,1993,11,4,7,0,,,-7.2,-13.8,22.7,34.2,Pat,Sullivan
TCU,1994,12,7,5,0,,,0,0.8,30.8,30.9,Pat,Sullivan
TCU,1995,11,6,5,0,,,-3.9,-4.7,23.4,28,Pat,Sullivan
TCU,1996,11,4,7,0,,,-11,-14,22.5,34.2,Pat,Sullivan
TCU,1997,11,1,10,0,,,-17.2,-20.8,17.5,36.3,Pat,Sullivan
Ole Miss,1919,8,4,4,0,,,-21.4,,,,R.L.,Sullivan
Ole Miss,1921,9,3,6,0,,,-32,,,,R.L.,Sullivan
Houston,2008,13,8,5,0,,,2.6,6.4,39.2,31.5,Kevin,Sumlin
Houston,2009,14,10,4,0,,,4.6,4,37.8,33.8,Kevin,Sumlin
Houston,2010,12,5,7,0,,,-2.7,-4.7,30.5,35.7,Kevin,Sumlin
Houston,2011,13,12,1,0,,18,15.2,14.2,40.3,26.5,Kevin,Sumlin
Texas A&M,2012,13,11,2,0,,5,28.7,28.8,44.7,16,Kevin,Sumlin
Texas A&M,2013,13,9,4,0,7,18,15.5,20.4,50.5,31.3,Kevin,Sumlin
Texas A&M,2014,13,8,5,0,21,,11.6,20.2,43.6,26.3,Kevin,Sumlin
Texas A&M,2015,13,8,5,0,,,11.3,14.1,31.9,18.8,Kevin,Sumlin
Texas A&M,2016,13,8,5,0,,,11.5,12,37.2,26.1,Kevin,Sumlin
Texas A&M,2017,12,7,5,0,,,5.4,9.4,33.1,25.2,Kevin,Sumlin
Arizona,2018,12,5,7,0,,,-2.8,3.6,32.3,29,Kevin,Sumlin
Arizona,2019,12,4,8,0,,,-5.4,-8,30.1,36.1,Kevin,Sumlin
Arizona,2020,0,0,0,0,,,,,,,Kevin,Sumlin
Georgia Southern,2016,12,5,7,0,,,-7.8,-3.9,27.8,32.6,Tyson,Summers
Georgia Southern,2017,6,0,6,0,,,-17.4,-15.8,18.3,35.5,Tyson,Summers
Pittsburgh,1992,1,0,1,0,,,-10.7,-14.4,30.7,41,Sal,Sunseri
Washington State,1956,10,3,6,1,,,-3,,,,Jim,Sutherland
Washington State,1957,10,6,4,0,,,8.7,,,,Jim,Sutherland
Washington State,1958,10,7,3,0,,,11.8,,,,Jim,Sutherland
Washington State,1959,10,6,4,0,,,8.2,,,,Jim,Sutherland
Washington State,1960,10,4,5,1,,,-0.9,,,,Jim,Sutherland
Washington State,1961,10,3,7,0,,,-1.7,,,,Jim,Sutherland
Washington State,1962,10,5,4,1,,,7.2,,,,Jim,Sutherland
Washington State,1963,10,3,6,1,,,-1.9,,,,Jim,Sutherland
Lafayette,1919,8,6,2,0,,,21.8,,,,Jock,Sutherland
Lafayette,1920,8,5,3,0,,,16,,,,Jock,Sutherland
Lafayette,1921,9,9,0,0,,,31.1,,,,Jock,Sutherland
Lafayette,1922,9,7,2,0,,,20.9,,,,Jock,Sutherland
Lafayette,1923,9,6,1,2,,,18.2,,,,Jock,Sutherland
Pittsburgh,1924,9,5,3,1,,,12.4,,,,Jock,Sutherland
Pittsburgh,1925,9,8,1,0,,,20.4,,,,Jock,Sutherland
Pittsburgh,1926,9,5,2,2,,,15.3,,,,Jock,Sutherland
Pittsburgh,1927,10,8,1,1,,,20.2,,,,Jock,Sutherland
Pittsburgh,1928,9,6,2,1,,,10.3,,,,Jock,Sutherland
Pittsburgh,1929,10,9,1,0,,,17.4,,,,Jock,Sutherland
Pittsburgh,1930,9,6,2,1,,,8.1,,,,Jock,Sutherland
Pittsburgh,1931,9,8,1,0,,,26.1,,,,Jock,Sutherland
Pittsburgh,1932,11,8,1,2,,,18.7,,,,Jock,Sutherland
Pittsburgh,1933,9,8,1,0,,,18.4,,,,Jock,Sutherland
Pittsburgh,1934,9,8,1,0,,,23.7,,,,Jock,Sutherland
Pittsburgh,1935,10,7,1,2,,,12.2,,,,Jock,Sutherland
Pittsburgh,1936,10,8,1,1,,3,26.8,,,,Jock,Sutherland
Pittsburgh,1937,10,9,0,1,,1,18.9,,,,Jock,Sutherland
Pittsburgh,1938,10,8,2,0,,8,20.5,,,,Jock,Sutherland
Army,1991,11,4,7,0,,,-12.8,-18.9,10.6,29.5,Bob,Sutton
Army,1992,11,5,6,0,,,-9.1,-14.3,20.2,33,Bob,Sutton
Army,1993,11,6,5,0,,,-16.4,-19,22.9,39.2,Bob,Sutton
Army,1994,11,4,7,0,,,-14.1,-19,15.9,34.1,Bob,Sutton
Army,1995,11,5,5,1,,,3.3,1.5,29,28.1,Bob,Sutton
Army,1996,12,10,2,0,,25,9,16.3,36.8,22.5,Bob,Sutton
Army,1997,11,4,7,0,,,-16.7,-16.3,20.3,35.1,Bob,Sutton
Army,1998,11,3,8,0,,,-7.1,-4.2,30.4,34.3,Bob,Sutton
Army,1999,11,3,8,0,,,-8.7,-11.1,25.5,34.7,Bob,Sutton
Virginia Tech,1920,10,4,6,0,,,-7.4,,,,Stanley,Sutton
LSU,1917,8,3,5,0,,,-13.1,,,,Wayne,Sutton
Temple,1939,9,2,7,0,,,0.7,,,,Fred,Swan
Washington State,1968,10,3,6,1,,,4.4,,,,Jim,Sweeney
Washington State,1969,10,1,9,0,,,-7.7,,,,Jim,Sweeney
Washington State,1970,11,1,10,0,,,-2.4,-10,34.6,41.2,Jim,Sweeney
Washington State,1971,11,4,7,0,,,4,0,29.6,30,Jim,Sweeney
Washington State,1972,11,7,4,0,,19,9.2,9.4,32.4,24.8,Jim,Sweeney
Washington State,1973,11,5,6,0,,,8,5.1,32,28.3,Jim,Sweeney
Washington State,1974,11,2,9,0,,,-3.9,-9.7,19.3,28.3,Jim,Sweeney
Washington State,1975,11,3,8,0,,,-2,-10.3,22.7,32.1,Jim,Sweeney
Fresno State,1976,11,5,6,0,,,-3.6,5.4,24.7,19.9,Jim,Sweeney
Fresno State,1977,11,9,2,0,,,9.2,18.6,38.8,22,Jim,Sweeney
Fresno State,1980,11,5,6,0,,,-11.1,-12.8,17.3,29,Jim,Sweeney
Fresno State,1981,11,5,6,0,,,-6.7,-11.5,26.5,35.4,Jim,Sweeney
Fresno State,1982,12,11,1,0,,,4,9.6,35.9,28.3,Jim,Sweeney
Fresno State,1983,11,6,5,0,,,-8.6,-6.7,20.8,27.4,Jim,Sweeney
Fresno State,1984,12,6,6,0,,,-4.9,-0.3,27.8,28.1,Jim,Sweeney
Fresno State,1985,12,11,0,1,,,7.1,12.6,39.8,29.5,Jim,Sweeney
Fresno State,1986,11,9,2,0,,,0.2,2.5,24.5,22.7,Jim,Sweeney
Fresno State,1987,11,6,5,0,,,-7.3,-2.8,23.5,26.3,Jim,Sweeney
Fresno State,1988,12,10,2,0,,,1.1,5.7,30.5,26.6,Jim,Sweeney
Fresno State,1989,12,11,1,0,,,3.6,7.4,34.6,29.2,Jim,Sweeney
Fresno State,1990,11,8,2,1,,,-1.9,-0.3,32,32.6,Jim,Sweeney
Fresno State,1991,12,10,2,0,,,4,5.3,39.7,35.6,Jim,Sweeney
Fresno State,1992,13,9,4,0,,24,10.2,13.2,45.6,35.3,Jim,Sweeney
Fresno State,1993,12,8,4,0,,,8.1,12.2,45.6,36.2,Jim,Sweeney
Fresno State,1994,13,5,7,1,,,-2.4,-0.9,37.6,37.5,Jim,Sweeney
Fresno State,1995,12,5,7,0,,,-8.4,-9.4,35,40.9,Jim,Sweeney
Fresno State,1996,11,4,7,0,,,-9.9,-11.8,29.2,38,Jim,Sweeney
Colgate,1908,7,4,3,0,,,17.4,,,,Edwin,Sweetland
West Virginia,1913,9,3,4,2,,,-8.4,,,,Edwin,Sweetland
Tulane,1914,7,3,3,1,,,-36.6,,,,Edwin,Sweetland
Ohio State,1904,11,6,5,0,0,0,-7.3,,,,E.R.,Sweetland
Ohio State,1905,12,8,2,2,0,0,,,,,E.R.,Sweetland
Clemson,2008,7,4,3,0,9,,8.4,12.8,27,14.2,Dabo,Swinney
Clemson,2009,14,9,5,0,,24,15.2,16.4,31.1,14.4,Dabo,Swinney
Clemson,2010,13,6,7,0,,,8.3,10.1,24,13.3,Dabo,Swinney
Clemson,2011,14,10,4,0,,22,6.3,7.8,35.4,28.9,Dabo,Swinney
Clemson,2012,13,11,2,0,14,11,16,18.5,41.5,24.1,Dabo,Swinney
Clemson,2013,13,11,2,0,8,8,18.2,24.5,42.4,19.6,Dabo,Swinney
Clemson,2014,13,10,3,0,16,15,13.9,18.1,29,11.6,Dabo,Swinney
Clemson,2015,15,14,1,0,12,2,22.3,24,41.9,17.2,Dabo,Swinney
Clemson,2016,15,14,1,0,2,1,25.3,28.7,43.5,14.1,Dabo,Swinney
Clemson,2017,14,12,2,0,5,4,25.9,26.4,36.5,8.3,Dabo,Swinney
Clemson,2018,15,15,0,0,2,,32.7,29.7,43,12.6,Dabo,Swinney
Clemson,2019,15,14,1,0,1,2,28.6,28.1,43.5,14.6,Dabo,Swinney
Clemson,2020,0,0,0,0,1,,,,,,Dabo,Swinney
Oklahoma,1973,11,10,0,1,11,3,37.8,36.3,45.6,10.9,Barry,Switzer
Oklahoma,1974,11,11,0,0,1,1,34.6,36.5,47,12.4,Barry,Switzer
Oklahoma,1975,12,11,1,0,1,1,26.8,30,39.3,10,Barry,Switzer
Oklahoma,1976,12,9,2,1,5,5,20.2,23.1,36.8,14.6,Barry,Switzer
Oklahoma,1977,12,10,2,0,1,7,24.9,27,43.1,18.3,Barry,Switzer
Oklahoma,1978,12,11,1,0,4,3,29.6,28.5,44.9,18.8,Barry,Switzer
Oklahoma,1979,12,11,1,0,3,3,26.3,24.7,39.3,15.6,Barry,Switzer
Oklahoma,1980,12,10,2,0,5,3,23.9,25.5,42.1,18.3,Barry,Switzer
Oklahoma,1981,12,7,4,1,2,20,18.2,18.6,35.4,18.3,Barry,Switzer
Oklahoma,1982,12,8,4,0,9,16,15.7,19.9,35.4,16.9,Barry,Switzer
Oklahoma,1983,12,8,4,0,2,,12.3,19,35.4,18.1,Barry,Switzer
Oklahoma,1984,12,9,2,1,16,6,14,18.2,32,14.7,Barry,Switzer
Oklahoma,1985,12,11,1,0,1,1,23.8,28.4,37.6,9.2,Barry,Switzer
Oklahoma,1986,12,11,1,0,1,3,29.2,32,44.4,13.4,Barry,Switzer
Oklahoma,1987,12,11,1,0,1,3,24.2,26.5,40.1,15.1,Barry,Switzer
Oklahoma,1988,12,9,3,0,3,14,15.9,19.9,33.8,15.1,Barry,Switzer
Western Kentucky,2010,12,2,10,0,,,-17.8,-27.6,12.5,37.2,Willie,Taggart
Western Kentucky,2011,12,7,5,0,,,-6.5,-16.1,16.9,32.4,Willie,Taggart
Western Kentucky,2012,12,7,5,0,,,-4.4,-4.7,26.1,28.9,Willie,Taggart
South Florida,2013,12,2,10,0,,,-12.4,-15.5,10.8,27.2,Willie,Taggart
South Florida,2014,12,4,8,0,,,-14.9,-11.8,19,32.3,Willie,Taggart
South Florida,2015,13,8,5,0,,,8.4,3.6,30.1,26.8,Willie,Taggart
South Florida,2016,12,10,2,0,,19,7.2,9.8,44.4,34.9,Willie,Taggart
Oregon,2017,13,7,6,0,,,4.6,9.1,35,25.1,Willie,Taggart
Florida State,2018,12,5,7,0,19,,-2.8,1.4,25,22.8,Willie,Taggart
Florida State,2019,9,4,5,0,,,0.2,1.8,30.2,27.1,Willie,Taggart
Florida Atlantic,2020,0,0,0,0,,,-8.2,-0.3,23.2,23.7,Willie,Taggart
West Virginia,1934,10,6,4,0,,,5.4,,,,Trusty,Tallman
West Virginia,1935,9,3,4,2,,,-6.1,,,,Trusty,Tallman
West Virginia,1936,10,6,4,0,,,-6,,,,Trusty,Tallman
Louisiana,1974,11,2,9,0,,,-16,-18.7,15,33.1,Augie,Tammariello
Louisiana,1975,11,6,5,0,,,-5,0,26.6,27,Augie,Tammariello
Louisiana,1976,11,9,2,0,,,1.2,12,28,16.9,Augie,Tammariello
Louisiana,1977,12,6,4,2,,,-1.3,7.8,24.4,17.4,Augie,Tammariello
Louisiana,1978,11,3,8,0,,,-17,-12,13.5,24.7,Augie,Tammariello
Louisiana,1979,11,4,7,0,,,-8.4,-5.6,12.8,18.4,Augie,Tammariello
Miami,1964,10,4,5,1,,,7,,,,Charlie,Tate
Miami,1965,10,5,4,1,,,14.6,,,,Charlie,Tate
Miami,1966,11,8,2,1,,9,14.7,,,,Charlie,Tate
Miami,1967,11,7,4,0,5,,16.1,,,,Charlie,Tate
Miami,1968,10,5,5,0,20,,9,,,,Charlie,Tate
Miami,1969,10,4,6,0,,,4.4,,,,Charlie,Tate
Miami,1970,2,1,1,0,,,-9.2,-11.1,21.3,31.4,Charlie,Tate
Wake Forest,1964,10,5,5,0,,,0.7,,,,William,Tate
Wake Forest,1965,10,3,7,0,,,-6.8,,,,William,Tate
Wake Forest,1966,10,3,7,0,,,-2.2,,,,William,Tate
Wake Forest,1967,10,4,6,0,,,-2.1,,,,William,Tate
Wake Forest,1968,10,2,7,1,,,5.6,,,,William,Tate
North Carolina,1942,9,5,2,2,,,7.7,,,,Jim,Tatum
Oklahoma,1946,11,8,3,0,,14,15.7,,,,Jim,Tatum
Maryland,1947,11,7,2,2,,,10.1,,,,Jim,Tatum
Maryland,1948,10,6,4,0,,,7.7,,,,Jim,Tatum
Maryland,1949,10,9,1,0,,14,19.7,,,,Jim,Tatum
Maryland,1950,10,7,2,1,15,,9.8,,,,Jim,Tatum
Maryland,1951,10,10,0,0,16,3,30,,,,Jim,Tatum
Maryland,1952,9,7,2,0,2,13,24.3,,,,Jim,Tatum
Maryland,1953,11,10,1,0,9,1,26.2,,,,Jim,Tatum
Maryland,1954,10,7,2,1,3,8,22.5,,,,Jim,Tatum
Maryland,1955,11,10,1,0,5,3,19,,,,Jim,Tatum
North Carolina,1956,10,2,7,1,,,-0.7,,,,Jim,Tatum
North Carolina,1957,10,6,4,0,,,10.9,,,,Jim,Tatum
North Carolina,1958,10,6,4,0,10,,11,,,,Jim,Tatum
Stanford,1951,11,9,2,0,,7,11,,,,Chuck,Taylor
Stanford,1952,10,5,5,0,13,,5.4,,,,Chuck,Taylor
Stanford,1953,10,6,3,1,,19,9.1,,,,Chuck,Taylor
Stanford,1954,10,4,6,0,,,-2.5,,,,Chuck,Taylor
Stanford,1955,10,6,3,1,,16,16.3,,,,Chuck,Taylor
Stanford,1956,10,4,6,0,14,,9.5,,,,Chuck,Taylor
Stanford,1957,10,6,4,0,,,9.4,,,,Chuck,Taylor
TCU,1967,10,4,6,0,,,-3,,,,Fred,Taylor
TCU,1968,10,3,7,0,,,5.9,,,,Fred,Taylor
TCU,1969,10,4,6,0,,,5.4,,,,Fred,Taylor
TCU,1970,11,4,6,1,,,4.9,-2.7,24,26.9,Fred,Taylor
Oregon State,1949,10,7,3,0,,,9.6,,,,Kip,Taylor
Oregon State,1950,9,3,6,0,,,-4.6,,,,Kip,Taylor
Oregon State,1951,10,4,6,0,,,9.3,,,,Kip,Taylor
Oregon State,1952,9,2,7,0,,,-4.1,,,,Kip,Taylor
Oregon State,1953,9,3,6,0,,,-12.8,,,,Kip,Taylor
Oregon State,1954,9,1,8,0,,,-19.1,,,,Kip,Taylor
Baylor,1972,11,5,6,0,,,13.8,11.4,23.3,12.1,Grant,Teaff
Baylor,1973,11,2,9,0,,,-4.5,-12,25.7,35.3,Grant,Teaff
Baylor,1974,12,8,4,0,,14,13.4,16.1,31.1,16.3,Grant,Teaff
Baylor,1975,11,3,6,2,,,6.3,6.5,25.5,19.8,Grant,Teaff
Baylor,1976,11,7,3,1,,,8.6,6.4,24,18.4,Grant,Teaff
Baylor,1977,11,5,6,0,,,8.1,4,26.3,23.2,Grant,Teaff
Baylor,1978,11,3,8,0,,,11.9,11.1,30.5,20.6,Grant,Teaff
Baylor,1979,12,8,4,0,,14,14.7,17.4,30.1,13.9,Grant,Teaff
Baylor,1980,12,10,2,0,,14,15.9,18.6,32.3,15,Grant,Teaff
Baylor,1981,11,5,6,0,,,6.2,4.9,29.5,25.8,Grant,Teaff
Baylor,1982,11,4,6,1,,,-1.1,-3.7,25.7,29.4,Grant,Teaff
Baylor,1983,12,7,4,1,,,6.2,7.7,33.8,28,Grant,Teaff
Baylor,1984,11,5,6,0,,,2.1,6,30.4,26.3,Grant,Teaff
Baylor,1985,12,9,3,0,,17,13.8,17.1,29.9,14,Grant,Teaff
Baylor,1986,12,9,3,0,12,12,8.8,12.2,32.3,21.1,Grant,Teaff
Baylor,1987,11,6,5,0,,,-2.9,-2.8,24.5,27.4,Grant,Teaff
Baylor,1988,11,6,5,0,,,-1.9,-5.2,19.9,25.4,Grant,Teaff
Baylor,1989,11,5,6,0,,,8.6,8.8,27.8,19.8,Grant,Teaff
Baylor,1990,11,6,4,1,,,6.6,8.6,28.4,20.3,Grant,Teaff
Baylor,1991,12,8,4,0,,,8.1,11.2,29.4,19.2,Grant,Teaff
Baylor,1992,12,7,5,0,,,4.6,7.3,34.6,29.4,Grant,Teaff
NC State,1925,9,3,5,1,,,-11.6,,,,Gus,Tebell
NC State,1926,10,4,6,0,,,-16.5,,,,Gus,Tebell
NC State,1927,10,9,1,0,,,3.2,,,,Gus,Tebell
NC State,1928,10,4,5,1,,,-6,,,,Gus,Tebell
NC State,1929,9,1,8,0,,,-26.3,,,,Gus,Tebell
Virginia,1934,9,3,6,0,,,-14.2,,,,Gus,Tebell
Virginia,1935,10,1,5,4,,,-18.4,,,,Gus,Tebell
Virginia,1936,9,2,7,0,,,-24.4,,,,Gus,Tebell
California,2002,12,7,5,0,,,12.4,12.6,42.7,33,Jeff,Tedford
California,2003,14,8,6,0,,,12.6,16.8,41.5,27.8,Jeff,Tedford
California,2004,12,10,2,0,12,9,26.4,26.7,43.6,19.2,Jeff,Tedford
California,2005,12,8,4,0,19,25,12,18.4,35.8,17.5,Jeff,Tedford
California,2006,13,10,3,0,9,14,19.5,17.6,35.7,19.9,Jeff,Tedford
California,2007,13,7,6,0,12,,8.8,16.6,38.1,21.3,Jeff,Tedford
California,2008,13,9,4,0,,,12.6,18,32.7,14.3,Jeff,Tedford
California,2009,13,8,5,0,12,,2.9,6.5,30.2,22.5,Jeff,Tedford
California,2010,12,5,7,0,,,9.8,10,28,17.4,Jeff,Tedford
California,2011,13,7,6,0,,,6.2,12.2,32.2,21.1,Jeff,Tedford
California,2012,12,3,9,0,,,-1.7,5.3,31.3,25.8,Jeff,Tedford
Fresno State,2017,14,10,4,0,,,3.3,-2.7,22.3,25.5,Jeff,Tedford
Fresno State,2018,14,12,2,0,,,12.8,17.4,33.5,15.5,Jeff,Tedford
Fresno State,2019,12,4,8,0,,,-4.6,-4,30.6,33.6,Jeff,Tedford
Tulane,1992,11,2,9,0,,,-11.4,-11.1,22.6,32.6,Buddy,Teevens
Tulane,1993,12,3,9,0,,,-19.6,-24.8,15.9,37.7,Buddy,Teevens
Tulane,1994,11,1,10,0,,,-17.8,-21.7,16.7,36.5,Buddy,Teevens
Tulane,1995,11,2,9,0,,,-13.4,-18.5,18.2,35.1,Buddy,Teevens
Tulane,1996,11,2,9,0,,,-1.5,0.7,27,26.6,Buddy,Teevens
Stanford,2002,11,2,9,0,,,-3.7,-0.9,33,34,Buddy,Teevens
Stanford,2003,11,4,7,0,,,-6.7,-5.1,25.9,31.1,Buddy,Teevens
Stanford,2004,11,4,7,0,,,9.7,8.2,29.6,22.7,Buddy,Teevens
Georgia Tech,2007,1,0,1,0,,,3.8,8.7,28.1,21.3,Jon,Tenuta
Illinois,1992,12,6,5,1,,,0.7,1,23.7,23,Lou,Tepper
Illinois,1993,11,5,6,0,,,5.7,3.7,24,21,Lou,Tepper
Illinois,1994,12,7,5,0,21,,19.5,21.7,33.3,12.4,Lou,Tepper
Illinois,1995,11,5,5,1,,,8.6,9.8,25.5,16.9,Lou,Tepper
Illinois,1996,11,2,9,0,,,-5.4,-6.3,28.7,34.1,Lou,Tepper
Wyoming,1913,5,0,5,0,,,-46.7,,,,Ralph,Thacker
Wyoming,1914,6,1,5,0,,,-42.5,,,,Ralph,Thacker
California,1978,11,6,5,0,,,6.2,7.9,32.3,26.1,Roger,Theder
California,1979,12,6,6,0,,,14.1,14.9,29.5,15.3,Roger,Theder
California,1980,11,3,8,0,,,-1.5,-6.2,26.5,32.1,Roger,Theder
California,1981,11,2,9,0,,,2.7,1.9,27.6,26.4,Roger,Theder
Northwestern,1922,7,3,3,1,,,6.3,,,,Glenn,Thistlethwaite
Northwestern,1923,8,2,6,0,,,-1.9,,,,Glenn,Thistlethwaite
Northwestern,1924,8,4,4,0,,,7.1,,,,Glenn,Thistlethwaite
Northwestern,1925,8,5,3,0,,,10.6,,,,Glenn,Thistlethwaite
Northwestern,1926,8,7,1,0,,,23.5,,,,Glenn,Thistlethwaite
Wisconsin,1927,8,4,4,0,,,0.2,,,,Glenn,Thistlethwaite
Wisconsin,1928,9,7,1,1,,,18.3,,,,Glenn,Thistlethwaite
Wisconsin,1929,9,4,5,0,,,10.9,,,,Glenn,Thistlethwaite
Wisconsin,1930,9,6,2,1,,,17.4,,,,Glenn,Thistlethwaite
Wisconsin,1931,10,5,4,1,,,5.3,,,,Glenn,Thistlethwaite
Richmond,1934,9,8,1,0,,,2.1,,,,Glenn,Thistlethwaite
Richmond,1935,9,3,3,3,,,-14.6,,,,Glenn,Thistlethwaite
Richmond,1936,10,4,4,2,,,-26.8,,,,Glenn,Thistlethwaite
Richmond,1937,10,5,4,1,,,-19.5,,,,Glenn,Thistlethwaite
Richmond,1938,10,6,3,1,,,-11,,,,Glenn,Thistlethwaite
Richmond,1939,10,7,1,2,,,-1.4,,,,Glenn,Thistlethwaite
Richmond,1940,9,6,3,0,,,-10.2,,,,Glenn,Thistlethwaite
Richmond,1941,9,2,7,0,,,-28.8,,,,Glenn,Thistlethwaite
Alabama,1931,10,9,1,0,,,20.3,,,,Frank,Thomas
Alabama,1932,10,8,2,0,,,15.8,,,,Frank,Thomas
Alabama,1933,9,7,1,1,,,11.3,,,,Frank,Thomas
Alabama,1934,10,10,0,0,,,30.2,,,,Frank,Thomas
Alabama,1935,9,6,2,1,,,19.5,,,,Frank,Thomas
Alabama,1936,9,8,0,1,,4,20,,,,Frank,Thomas
Alabama,1937,10,9,1,0,,4,18.3,,,,Frank,Thomas
Alabama,1938,9,7,1,1,,13,13,,,,Frank,Thomas
Alabama,1939,9,5,3,1,,,15.3,,,,Frank,Thomas
Alabama,1940,9,7,2,0,,,9.2,,,,Frank,Thomas
Alabama,1941,11,9,2,0,,20,19.1,,,,Frank,Thomas
Alabama,1942,11,8,3,0,,10,23.4,,,,Frank,Thomas
Alabama,1944,9,5,2,2,,,12.4,,,,Frank,Thomas
Alabama,1945,10,10,0,0,,2,36.4,,,,Frank,Thomas
Alabama,1946,11,7,4,0,,,14.3,,,,Frank,Thomas
Wake Forest,1911,8,3,5,0,,,-16,,,,Frank,Thompson
Wake Forest,1912,8,2,6,0,,,-30.7,,,,Frank,Thompson
Wake Forest,1913,8,0,8,0,,,-20.3,,,,Frank,Thompson
East Carolina,2003,12,1,11,0,,,-18.9,-22,22.9,40.9,John,Thompson
East Carolina,2004,11,2,9,0,,,-17.8,-18.9,29,42.8,John,Thompson
Pittsburgh,1908,11,8,3,0,,,10.7,,,,Joseph,Thompson
Pittsburgh,1909,9,6,2,1,,,9.8,,,,Joseph,Thompson
Pittsburgh,1910,9,9,0,0,,,15.3,,,,Joseph,Thompson
Pittsburgh,1911,8,4,3,1,,,6.7,,,,Joseph,Thompson
Pittsburgh,1912,9,3,6,0,,,-8.5,,,,Joseph,Thompson
Arkansas,1929,9,7,2,0,,,12.7,,,,Fred,Thomsen
Arkansas,1930,9,3,6,0,,,-5.3,,,,Fred,Thomsen
Arkansas,1931,9,3,5,1,,,-9.2,,,,Fred,Thomsen
Arkansas,1932,9,1,6,2,,,0.3,,,,Fred,Thomsen
Arkansas,1933,11,7,3,1,,,10,,,,Fred,Thomsen
Arkansas,1934,10,4,4,2,,,8,,,,Fred,Thomsen
Arkansas,1935,10,5,5,0,,,14.1,,,,Fred,Thomsen
Arkansas,1936,10,7,3,0,,18,16.3,,,,Fred,Thomsen
Arkansas,1937,10,6,2,2,,14,17.1,,,,Fred,Thomsen
Arkansas,1938,10,2,7,1,,,2.8,,,,Fred,Thomsen
Arkansas,1939,10,4,5,1,,,6.3,,,,Fred,Thomsen
Arkansas,1940,10,4,6,0,,,1.2,,,,Fred,Thomsen
Arkansas,1941,10,3,7,0,,,5,,,,Fred,Thomsen
Stanford,1933,11,8,2,1,,,15.5,,,,Tiny,Thornhill
Stanford,1934,11,9,1,1,,,19.4,,,,Tiny,Thornhill
Stanford,1935,9,8,1,0,,,21.8,,,,Tiny,Thornhill
Stanford,1936,9,2,5,2,,,6.4,,,,Tiny,Thornhill
Stanford,1937,9,4,3,2,,,8.2,,,,Tiny,Thornhill
Stanford,1938,9,3,6,0,,,5.2,,,,Tiny,Thornhill
Stanford,1939,9,1,7,1,,,-6.1,,,,Tiny,Thornhill
Kentucky,1915,8,6,1,1,,,-5.9,,,,J.J.,Tigert
Kentucky,1916,7,4,1,2,,,-13.4,,,,J.J.,Tigert
Wyoming,1991,11,4,6,1,,,-6.3,-6.2,34.2,38.8,Joe,Tiller
Wyoming,1992,12,5,7,0,,,-3.9,-0.7,32.4,33.5,Joe,Tiller
Wyoming,1993,12,8,4,0,,,0.8,2.4,34.2,33,Joe,Tiller
Wyoming,1994,12,6,6,0,,,-0.1,1.2,34,33.6,Joe,Tiller
Wyoming,1995,11,6,5,0,,,-0.6,3.5,33.8,31.9,Joe,Tiller
Wyoming,1996,12,10,2,0,,22,6.4,11.3,42.4,33.6,Joe,Tiller
Purdue,1997,12,9,3,0,,15,9.3,12,39.1,29,Joe,Tiller
Purdue,1998,13,9,4,0,,24,18.5,21.7,43,24,Joe,Tiller
Purdue,1999,12,7,5,0,23,25,12.8,14.7,40.8,29,Joe,Tiller
Purdue,2000,12,8,4,0,14,13,11.6,13.7,39.2,27.3,Joe,Tiller
Purdue,2001,12,6,6,0,,,3.3,6.8,29.5,24,Joe,Tiller
Purdue,2002,13,7,6,0,,,8.6,11.3,35.9,26.6,Joe,Tiller
Purdue,2003,13,9,4,0,19,18,11.8,14.9,33.3,19.6,Joe,Tiller
Purdue,2004,12,7,5,0,24,,15.5,18.3,38,21.3,Joe,Tiller
Purdue,2005,11,5,6,0,15,,10,11.8,37.1,25.3,Joe,Tiller
Purdue,2006,14,8,6,0,,,-1.2,4.4,33.2,28.2,Joe,Tiller
Purdue,2007,13,8,5,0,,,6,12.4,33.2,22.2,Joe,Tiller
Purdue,2008,12,4,8,0,,,0.3,2.4,24.6,20.6,Joe,Tiller
Virginia Tech,1942,10,7,2,1,,,-0.4,,,,S.D.,Tilson
LSU,1948,10,3,7,0,,,1.5,,,,Gaynell,Tinsley
LSU,1949,11,8,3,0,,9,17.3,,,,Gaynell,Tinsley
LSU,1950,11,4,5,2,,,11.2,,,,Gaynell,Tinsley
LSU,1951,11,7,3,1,,,10.7,,,,Gaynell,Tinsley
LSU,1952,10,3,7,0,,,10.8,,,,Gaynell,Tinsley
LSU,1953,11,5,3,3,,,11.6,,,,Gaynell,Tinsley
LSU,1954,11,5,6,0,,,5.7,,,,Gaynell,Tinsley
